tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,gt_area_ratio,pred_area_ratio,error_area_ratio,test_set,dataset_folder,dataset_index,image_id,tamper_type,tamper_type_source,tamper_type_confidence,tamper_type_reason,mask_area_ratio,predicted_area_ratio,component_count,patch_similarity,h95_mean_inside_gt,h95_mean_outside_gt,h95_inside_outside_ratio
13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,0.009765625,0.20068359375,0.2041015625,TestingSet,DocTamperV1-TestingSet,0,TestingSet_000000,generation,metadata,1.0,official tampering type metadata from tampering_types pickle,0.009765625,0.20068359375,1.0,0.0,0.16249999403953552,0.11501479148864746,1.4128615789992482
2,205,52,3837,0.00966183574879227,0.037037037037037035,0.01532567049808429,0.007722007722007722,0.937255859375,0.9492825333993072,0.05071746660069273,0.9629629629629629,0.01318359375,0.050537109375,0.062744140625,TestingSet,DocTamperV1-TestingSet,1,TestingSet_000001,generation,metadata,1.0,official tampering type metadata from tampering_types pickle,0.01318359375,0.050537109375,1.0,0.0,0.11728396266698837,0.10984661430120468,1.0677065718960117
4,182,66,3844,0.021505376344086023,0.05714285714285714,0.03125,0.015873015873015872,0.939453125,0.9547938400397417,0.04520615996025832,0.9428571428571428,0.01708984375,0.04541015625,0.060546875,TestingSet,DocTamperV1-TestingSet,2,TestingSet_000002,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.01708984375,0.04541015625,1.0,0.0,0.14761903882026672,0.0974499061703682,1.514819556767906
14,294,74,3714,0.045454545454545456,0.1590909090909091,0.07070707070707072,0.03664921465968586,0.91015625,0.9266467065868264,0.07335329341317365,0.8409090909090909,0.021484375,0.0751953125,0.08984375,TestingSet,DocTamperV1-TestingSet,3,TestingSet_000003,generation,metadata,1.0,official tampering type metadata from tampering_types pickle,0.021484375,0.0751953125,1.0,0.0,0.2613636255264282,0.12225549668073654,2.137847468981212
54,830,54,3158,0.06108597285067873,0.5,0.10887096774193548,0.057569296375266525,0.7841796875,0.791875626880642,0.20812437311935808,0.5,0.0263671875,0.2158203125,0.2158203125,TestingSet,DocTamperV1-TestingSet,4,TestingSet_000004,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.0263671875,0.2158203125,1.0,0.0,0.2916666567325592,0.1199849545955658,2.430860047470799
19,256,111,3710,0.06909090909090909,0.14615384615384616,0.09382716049382717,0.04922279792746114,0.910400390625,0.935451336359052,0.06454866364094806,0.8538461538461538,0.03173828125,0.067138671875,0.089599609375,TestingSet,DocTamperV1-TestingSet,5,TestingSet_000005,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.03173828125,0.067138671875,1.0,0.0,0.2282051295042038,0.11010254174470901,2.072659769351533
13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,0.009765625,0.20068359375,0.2041015625,FCD,DocTamperV1-FCD,0,FCD_000000,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.009765625,0.20068359375,1.0,0.0,0.16249999403953552,0.11501479148864746,1.4128615789992482
2,205,52,3837,0.00966183574879227,0.037037037037037035,0.01532567049808429,0.007722007722007722,0.937255859375,0.9492825333993072,0.05071746660069273,0.9629629629629629,0.01318359375,0.050537109375,0.062744140625,FCD,DocTamperV1-FCD,1,FCD_000001,generation,metadata,1.0,official tampering type metadata from tampering_types pickle,0.01318359375,0.050537109375,1.0,0.0,0.11728396266698837,0.10984661430120468,1.0677065718960117
4,182,66,3844,0.021505376344086023,0.05714285714285714,0.03125,0.015873015873015872,0.939453125,0.9547938400397417,0.04520615996025832,0.9428571428571428,0.01708984375,0.04541015625,0.060546875,FCD,DocTamperV1-FCD,2,FCD_000002,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.01708984375,0.04541015625,1.0,0.0,0.14761903882026672,0.0974499061703682,1.514819556767906
14,294,74,3714,0.045454545454545456,0.1590909090909091,0.07070707070707072,0.03664921465968586,0.91015625,0.9266467065868264,0.07335329341317365,0.8409090909090909,0.021484375,0.0751953125,0.08984375,FCD,DocTamperV1-FCD,3,FCD_000003,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.021484375,0.0751953125,1.0,0.0,0.2613636255264282,0.12225549668073654,2.137847468981212
13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,0.009765625,0.20068359375,0.2041015625,SCD,DocTamperV1-SCD,0,SCD_000000,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.009765625,0.20068359375,1.0,0.0,0.16249999403953552,0.11501479148864746,1.4128615789992482
2,205,52,3837,0.00966183574879227,0.037037037037037035,0.01532567049808429,0.007722007722007722,0.937255859375,0.9492825333993072,0.05071746660069273,0.9629629629629629,0.01318359375,0.050537109375,0.062744140625,SCD,DocTamperV1-SCD,1,SCD_000001,copy_move,metadata,1.0,official tampering type metadata from tampering_types pickle,0.01318359375,0.050537109375,1.0,0.0,0.11728396266698837,0.10984661430120468,1.0677065718960117
