test_set,tamper_type,analysis_only,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
TestingSet,generation,True,0.01,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.02,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.03,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.04,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.05,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.06,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.07,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.08,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.09,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.1,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.11,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.12,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.13,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.14,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.15,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.16,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.17,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.18,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.19,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.2,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.21,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.22,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.23,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.24,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.25,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.26,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.27,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.28,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.29,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.3,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.31,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.32,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.33,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825
TestingSet,generation,True,0.34,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.35,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.36,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.37,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.38,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.39,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.4,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.41,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.42,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.43,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.44,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.45,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.46,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.47,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.48,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.49,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.5,29,1308,153,10798,0.02169035153328347,0.15934065934065933,0.03818301514154049,0.019463087248322148,0.881103515625,0.8919544027754832,0.10804559722451677,0.8406593406593407
TestingSet,generation,True,0.51,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.52,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.53,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.54,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.55,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
